Rank,Name,Elo,+,−,Games,score,opponent,draw
229,Hactar-7-221-2g,2864,68,68,112,69%,2656,22%
230,galvanise_t325,2864,83,83,116,82%,2400,6%
231,Aya0719_0615_0g10t,2863,8,8,9340,73%,2594,15%
232,Io-v2-p3000,2863,59,59,189,73%,2524,10%
233,Waffle-5.4,2863,38,38,438,81%,2528,16%
234,CLeelaz9Test14,2862,62,62,126,71%,2664,37%
235,Waffle-6.2,2861,49,49,221,71%,2617,21%
236,Hactar-7-197-p,2860,24,24,1035,77%,2540,16%
237,H_LeelaZ_61_1600po,2859,54,54,185,73%,2630,16%
238,Nats_p4v4_4t1g_40k,2858,36,36,516,78%,2526,12%
239,LZ9_SL_07_po1600,2857,61,61,154,76%,2568,25%
240,test-b9-180611,2856,71,71,103,74%,2633,17%
241,Waffle-5.3,2853,60,60,191,81%,2480,15%
242,H_LeelaZ_71_5000po,2853,68,68,137,74%,2564,15%
243,Newronamin3,2851,12,12,3659,68%,2636,24%
244,khd-orangepi3b-K,2850,76,76,101,63%,2493,20%
245,Waffle-5.1,2850,42,42,359,80%,2510,16%
246,LZ9_SL_07_v6400,2849,77,77,100,66%,2613,20%
247,kata1_b18s913v1,2849,51,51,172,61%,2677,24%
248,Weights_34_400,2846,26,26,1456,85%,2369,5%
249,galvanise_t411,2845,69,69,129,72%,2517,8%
250,Newronamin2,2845,11,11,3946,68%,2618,24%
251,KG_30b11_406_10p,2842,39,39,369,60%,2614,15%
252,LZ6-128_R7-M260-4,2842,31,31,559,72%,2596,18%
253,Hactar-7-209a-p,2841,43,43,342,77%,2514,14%
254,BakedWaffle-7.5b,2841,53,53,205,65%,2665,18%
255,rn630_v995_p100,2840,38,38,439,76%,2460,23%
256,aya807_p4v4t8_pond,2839,49,49,362,65%,2399,7%
257,Aya797c_p1v1_10k,2839,25,25,1198,80%,2421,7%
258,khd-orangepi3b-E,2838,60,60,147,61%,2628,13%
259,LZ-4-128_H530,2838,64,64,131,69%,2626,18%
260,galvanise_t355,2837,43,43,355,77%,2491,9%
261,khd-orangepi3b-B,2836,76,76,104,66%,2515,13%
262,Rhea-1-p3000,2835,64,64,141,62%,2627,13%
263,H_LeelaZ_54_1600po,2835,60,60,159,73%,2616,18%
264,BakedWaffle-7.5c,2834,64,64,142,73%,2551,20%
265,H_LeelaZ_58_1600po,2832,63,63,145,73%,2578,17%
266,katagotest,2832,17,17,2259,66%,2401,15%
267,HLeelaz_100_1600po,2831,42,42,325,72%,2578,21%
268,H_LeelaZ_56_1600po,2829,54,54,208,72%,2586,10%
269,lt_test0212_np,2828,49,49,261,75%,2523,10%
270,LZ9_SL_06_po1600,2827,69,69,127,74%,2562,18%
271,galvanise_t302,2827,45,45,328,75%,2484,8%
272,HLZ65_109_100po,2826,61,61,184,77%,2490,10%
273,H_LeelaZ_44_6400po,2824,60,60,132,66%,2641,23%
274,khd-orangepi3b-H,2824,47,47,288,61%,2525,12%
275,kata1_b60s690v1,2823,53,53,285,64%,2392,19%
276,LZ20_128_65_p3000,2823,2,2,107275,75%,2500,21%
277,Hactar-7-214c-p,2822,59,59,188,76%,2467,13%
278,Thunderbird_jeep,2821,66,66,233,70%,2260,4%
279,Newronamin,2820,11,11,4260,66%,2597,22%
280,LZ6-128_R7-M260-3,2819,27,27,996,72%,2548,1%
281,HLeelaz65_85_100po,2819,71,71,153,82%,2466,10%
282,Hactar-7-172,2819,39,39,399,77%,2514,15%
283,Rnz-3.3.0-1080Ti,2819,40,40,355,75%,2476,17%
284,Tornado-2.0,2818,70,70,114,62%,2689,11%
285,Hactar-7-152,2818,54,54,206,76%,2531,16%
286,Hactar-7-238,2817,31,31,573,69%,2571,17%
287,kata1_b28s430v1,2816,34,34,372,55%,2656,35%
288,lz159s,2815,78,78,110,83%,2452,18%
289,H_LeelaZ_51_1600po,2815,53,53,186,67%,2629,19%
290,Hactar-7-181,2814,30,30,745,76%,2501,12%
291,Zen-11.4n-4c,2813,22,22,1222,68%,2579,13%
292,bunton-100po,2811,59,59,195,68%,2489,9%
293,kata1_b28s366v1,2810,29,29,550,54%,2617,33%
294,LZQ9_34,2808,52,52,229,74%,2539,20%
295,umineko-4c,2808,52,52,210,71%,2562,12%
296,LZ_6b128f_R7-M260,2808,32,32,578,77%,2541,16%
297,kata1_b18s852v1,2807,25,25,746,52%,2606,31%
298,LZQ9_35,2805,64,64,147,73%,2548,20%
299,khd-orangepi3b-I,2804,42,42,355,61%,2540,11%
300,test-b9,2804,39,39,451,73%,2485,8%
301,LZ9_SL_04_po1600,2804,85,85,100,74%,2530,7%
302,Aya790h_p1v0_40k,2801,66,66,166,77%,2381,7%
303,LZ_233_9py,2801,70,70,129,75%,2455,10%
304,Waffle-4.3,2801,39,39,412,77%,2502,13%
305,H_LeelaZ_49_1600po,2800,72,72,120,72%,2521,14%
306,LZ20-128_150po,2797,71,71,118,56%,2659,3%
307,Aya807_p4v4t8_pon1,2797,35,35,664,48%,2673,5%
308,Charlie_010,2796,63,63,165,74%,2525,18%
309,LZ_6-128_R7-M260-2,2795,42,42,314,76%,2533,21%
310,HLeelaz_158_30po,2795,62,62,131,53%,2704,13%
311,LZ9_SL_05_po1600,2795,63,63,147,63%,2629,12%
312,LZ6-128_H530,2794,16,16,2691,66%,2561,2%
313,Hactar-7-148,2794,72,72,119,77%,2477,15%
314,LZQ9_29,2793,69,69,147,76%,2508,11%
315,Zen-11.0n-4c,2793,10,10,7039,76%,2473,13%
316,Aya798b_p1v1_10k,2793,11,11,5122,67%,2580,10%
317,LZ4-128_H530-2,2792,31,31,777,80%,2462,4%
318,Hactar-7-159,2792,38,38,435,76%,2480,13%
319,H_LeelaZ_114m_50po,2791,45,45,251,71%,2527,24%
320,minusGo-59-0-16,2790,42,42,382,72%,2510,12%
321,LZQ9_28,2790,76,76,125,76%,2488,7%
322,kata181_b60s580_p1,2789,46,46,401,65%,2340,12%
323,Weights_40_400,2789,68,68,141,69%,2481,9%
324,sai9_65_50po,2788,78,78,110,74%,2469,6%
325,Sai9_44_50po,2786,44,44,297,73%,2504,16%
326,kata1_b18s583v1,2784,90,90,133,75%,2169,11%
327,Aya798a_p1v1_10k,2783,37,37,495,76%,2483,8%
328,H_LeelaZ_110_50po,2782,45,45,285,69%,2469,22%
329,kohada0.3.1-1080Ti,2779,31,31,779,60%,2305,14%
330,katago545,2777,57,57,183,56%,2500,15%
331,LZ_205_2240_p800,2777,15,15,2952,73%,2458,9%
332,hactar-9-12,2777,20,20,1839,55%,2572,8%
333,khd-orangepi3b-A,2774,59,59,156,55%,2626,11%
334,HLeelaZ_125_50po,2773,47,47,262,75%,2467,21%
335,CrazyStone-0004,2771,5,5,47142,91%,2141,3%
336,Waffle-4.0,2769,55,55,208,72%,2507,13%
337,Rn.5.12,2768,46,46,248,65%,2549,23%
338,H_LeelaZ_48_1600po,2763,67,67,133,70%,2542,17%
339,Rn.5.15,2762,25,25,883,66%,2554,22%
340,Zen-11.4n-2c,2762,22,22,1233,64%,2589,13%
341,LZ20-128_200po,2760,70,70,134,54%,2664,1%
342,kata181b40s1148_p1,2760,6,6,21601,46%,2574,17%
343,Aya800_0622F64_10k,2760,9,9,7015,69%,2492,13%
344,LZ_6-128_QUADRO600,2759,37,37,407,72%,2533,15%
345,Waffle-4.2,2757,45,45,306,72%,2502,11%
346,Waffle-4.1,2757,52,52,256,77%,2420,11%
347,Aya800e_0721_10k,2757,3,3,101818,67%,2474,11%
348,H_LeelaZ_87_50po,2757,44,44,279,63%,2589,21%
349,khd-orangepi3b-9,2756,69,69,109,54%,2641,15%
350,Zen-11.4n-1c,2752,28,28,795,70%,2492,9%
351,Aya799_p1v1_10k,2751,7,7,11922,66%,2533,11%
352,Rn.5.7b,2751,45,45,315,67%,2525,6%
353,H_LeelaZ_74_50po,2750,60,60,156,56%,2658,17%
354,CrazyStone-0003,2749,11,11,13999,92%,2140,2%
355,Rn.5.14,2748,32,32,554,64%,2554,24%
356,galvanise_test5,2747,70,70,129,74%,2425,8%
357,HLeelaz_153_10po,2745,49,49,247,66%,2512,13%
358,AyaF128a510_10k,2745,20,20,1753,72%,2362,7%
359,kohada0.2-1050Ti,2745,51,51,179,44%,2700,13%
360,Zen-11.0n-2c,2744,7,7,14017,70%,2451,11%
361,H_LeelaZ_90_50po,2744,47,47,265,63%,2537,20%
362,LZ4-128_QUADRO600,2742,55,55,166,67%,2553,16%
363,Tama065devNa128_1k,2741,62,62,263,58%,2344,6%
364,LZ4-128_R7-M260,2740,35,35,458,70%,2502,12%
365,Aya790h_p1v0_20k,2739,52,52,276,73%,2350,6%
366,Rn.5.9,2739,40,40,399,68%,2475,16%
367,Tornado-1.0,2737,53,53,228,69%,2472,11%
368,Waffle-3.7,2735,49,49,268,68%,2513,10%
369,RayZero-v1.2-p3200,2734,53,53,200,56%,2596,13%
370,Rn.5.18,2732,71,71,110,66%,2381,20%
371,H_LeelaZ_68_50po,2732,58,58,181,64%,2522,14%
372,Thunderbird,2730,24,24,1916,70%,2269,7%
373,Aya797_p1v0_g0_20k,2730,27,27,1638,87%,2276,4%
374,Waffle-3.6,2729,37,37,440,60%,2578,12%
375,Aya800e0802_14b_2k,2728,70,70,106,65%,2557,14%
376,Sai9_117_1600po,2728,59,59,164,63%,2534,21%
377,khd-orangepi3b-8,2728,64,64,139,50%,2657,12%
378,H_LeelaZ_44_1600po,2727,63,63,133,56%,2591,17%
379,Zen-15.3-1c0g,2726,23,23,1261,68%,2442,8%
380,galvanise_test4,2724,56,56,211,70%,2358,11%
381,Aya786m_4c,2723,21,21,1612,70%,2351,7%
382,Rn.5.10,2723,56,56,167,71%,2513,26%
383,cz_nn,2721,83,83,115,69%,2401,5%
384,CrazyStone-0002,2720,11,11,10631,90%,2238,3%
385,Aya_0802_0622_5k,2720,70,70,104,64%,2562,21%
386,LZ9-12k,2720,52,52,190,57%,2623,14%
387,Rn.5.17,2719,51,51,248,70%,2272,17%
388,H_LeelaZ_83_50po,2719,62,62,177,60%,2549,12%
389,Rn.5.7,2716,61,61,155,56%,2631,14%
390,H_LeelaZ_80_50po,2715,70,70,114,54%,2618,16%
391,kata-dg-32,2711,81,81,143,44%,2619,5%
392,HLeelaz_158_10po,2711,67,67,130,52%,2612,10%
393,CLeelaz9Test4,2709,13,13,3790,65%,2470,17%
394,XVG-1.2-z3i280t48n,2708,59,59,165,58%,2501,15%
395,hactar-9-18,2707,85,85,117,57%,2395,10%
396,H_LeelaZ_79_50po_2,2707,48,48,282,61%,2563,13%
397,KG_20b9_335_1p,2706,40,40,384,53%,2587,17%
398,LZ4-128_R7-M260-2,2705,42,42,367,69%,2450,4%
399,Callisto-2.1-2k,2705,42,42,372,62%,2542,6%
400,H_LeelaZ_82_50po,2704,78,78,113,58%,2620,11%
401,KG_30b11_406_1p,2703,38,38,474,50%,2554,11%
402,pikac_3s6b144c1d,2700,19,19,2326,48%,2411,9%
403,Aya_F128L39_p800,2700,48,48,242,63%,2526,11%
404,H_LeelaZ_85_50po,2696,74,74,132,51%,2648,13%
405,Hactar-7-143-2g,2693,55,55,194,66%,2500,11%
406,H_LeelaZ_65_50po,2692,66,66,134,64%,2543,11%
407,Hactar-7-128,2692,74,74,104,58%,2552,12%
408,khd-orangepi3b-4,2692,56,56,179,44%,2658,15%
409,tamagoNat128x10_4k,2691,17,17,2431,48%,2590,9%
410,Rn.5.14a,2689,76,76,101,57%,2495,20%
411,Rn.5.19-np,2689,46,46,262,63%,2437,16%
412,LZ20-128_100po,2688,79,79,116,59%,2527,1%
413,khd-orangepi3b-2,2687,47,47,364,50%,2496,9%
414,Sai9_99_1600po,2684,56,56,200,57%,2537,16%
415,Hira-No3025-1B,2683,48,48,254,60%,2435,10%
416,Waffle-3.4,2682,41,41,369,49%,2604,12%
417,LZ_232_9py,2680,53,53,211,61%,2431,8%
418,H_LeelaZ_70_50po,2679,67,67,135,61%,2503,12%
419,H_LeelaZ_67_50po,2679,56,56,189,60%,2557,11%
420,tamagoNat128x10_1k,2679,36,36,692,54%,2451,6%
421,khd-orangepi3b-5,2676,56,56,188,40%,2669,11%
422,LZ_226_9py,2676,73,73,121,62%,2437,6%
423,galvanise_nats_432,2675,44,44,313,53%,2525,9%
424,Aya786m_2c,2674,55,55,235,70%,2431,4%
425,Rn.4.30b-4c,2673,69,69,209,72%,2291,0%
426,CLeelaz9Test3,2673,32,32,668,57%,2493,14%
427,NNOdin_1.2.26_2T,2672,29,29,1340,45%,2465,5%
428,XVG-1.2-z2i200t24n,2672,40,40,376,56%,2566,9%
429,Hira-No3025-2B,2672,49,49,262,62%,2375,10%
430,ZOdin_12_T7CL9_21x,2672,48,48,318,48%,2539,13%
431,LZ20-128_60po,2670,60,60,180,49%,2632,4%
432,Hira-No160a-4c,2668,51,51,223,67%,2502,5%
433,lzq9_27_Intel620,2666,82,82,103,70%,2438,8%
434,HLeelaz65_72_50po,2665,68,68,138,67%,2419,7%
435,sai9_6566_p1000,2665,78,78,104,59%,2511,5%
436,khd-orangepi3b-3,2662,60,60,167,49%,2558,11%
437,lz225py_9,2662,65,65,163,56%,2397,7%
438,XVG-1.2-z3i280t48,2661,60,60,168,53%,2514,11%
439,Aya797d_15_ro_200k,2660,56,56,236,62%,2430,7%
440,LZ9_SL_03_po1600,2659,73,73,128,63%,2433,7%
441,H_LeelaZ_63_50po,2659,67,67,136,57%,2501,10%
442,NNOdin_1.2.23_T7,2658,21,21,1883,59%,2432,5%
443,XVG-1.2-z2i200t24,2658,40,40,379,60%,2495,11%
444,LZ_10b64f_QUADR600,2656,48,48,232,63%,2510,15%
445,Callisto-2.1-1k,2656,46,46,354,56%,2535,4%
446,kohada0.3.5.3500,2655,81,81,181,48%,2400,6%
447,Aya0212_0622v64_2k,2655,75,75,100,60%,2510,14%
448,Thunderbird_note,2653,26,26,1554,63%,2286,8%
449,XVG-1.1-z1i35t24,2651,64,64,240,86%,1982,4%
450,Aya786n_160k,2650,40,40,515,74%,2317,6%
451,HLeelaz_158_1po,2648,68,68,130,46%,2585,14%
452,Hira-No3025-4,2648,70,70,126,61%,2374,9%
453,H_LeelaZ_test_1,2646,45,45,343,60%,2514,13%
454,lz224_9,2644,80,80,101,65%,2376,6%
455,LZ_205_2240_p100,2644,39,39,452,66%,2423,6%
456,R-Go,2644,88,88,136,20%,2914,4%
457,AyaF128a49_10k,2644,30,30,956,68%,2312,4%
458,NNOdin_1.2.22_T7,2642,27,27,1350,52%,2525,5%
459,ZOdin_12_2T_21c,2639,16,16,2428,57%,2415,10%
460,ZOdin_12_2T_21f,2637,31,31,626,58%,2419,11%
461,Hira-No3025-3,2637,52,52,214,54%,2450,13%
462,LZ-4-128_Q600,2637,70,70,132,64%,2404,6%
463,H_LeelaZ_130_1po,2635,56,56,171,62%,2441,17%
464,NNOdin_1.2.25_T7,2634,19,19,2353,53%,2455,5%
465,NNOdin_1.2.24_T7,2630,18,18,2803,54%,2450,5%
466,H_LeelaZ_61_50po,2630,55,55,194,49%,2576,8%
467,Zen-11.0n-1k,2626,27,27,1257,78%,2201,7%
468,NNOdin_1.2.26_T7,2625,9,9,14073,51%,2370,4%
469,NNOdin_1.2.16_T7,2624,20,20,2902,61%,2376,3%
470,Rn.5.6,2624,49,49,276,49%,2555,10%
471,NNOdin_1.2.14_T7,2623,25,25,2191,53%,2464,3%
472,kata132_s191_t1_p1,2621,60,60,228,52%,2533,10%
473,kata135b40s299p1t1,2620,28,28,872,50%,2572,8%
474,QuickMan,2619,70,70,154,45%,2574,9%
475,Rn.5.13,2618,63,63,142,56%,2509,18%
476,NNOdin_1.2.20_T7,2618,18,18,2591,54%,2474,5%
477,Rn.5.19,2617,49,49,248,60%,2381,13%
478,H_LeelaZ_60_50po,2616,52,52,211,47%,2563,11%
479,kata181_b20s530_p1,2616,23,23,1594,37%,2717,7%
480,Waffle-3.2-book3.1,2616,67,67,136,52%,2544,10%
481,ZOdin_12_2T_21,2616,33,33,600,57%,2416,9%
482,Franxx-Ep1-D015a,2616,47,47,260,48%,2547,13%
483,NNOdin_1.2.18_T7,2615,26,26,1352,50%,2523,5%
484,Waffle-3.3,2614,73,73,104,51%,2550,14%
485,Waffle-3.3-book3.2,2614,50,50,242,48%,2562,13%
486,NNOdin_1.2.19_T7,2614,24,24,1668,59%,2399,4%
487,XVG-1.1-z1i35t24n,2613,60,60,238,83%,2050,5%
488,HLeelaz65_15_1600p,2613,62,62,160,62%,2417,7%
489,pikac_4s9b256c4d,2612,80,80,220,53%,2301,7%
490,H_LeelaZ_59_50po,2611,70,70,112,50%,2568,12%
491,NNO_1.1.4_2_4E,2611,57,57,289,83%,2007,2%
492,H_LeelaZ_56_50po,2609,56,56,197,52%,2508,11%
493,NNOdin_1.2.13_T7,2609,40,40,766,58%,2367,3%
494,ZOdin_12_KP25,2608,42,42,489,42%,2558,8%
495,ZOdin_12_2T_21e,2608,26,26,806,55%,2456,11%
496,ZOdin_12_2000_24,2608,74,74,145,51%,2480,9%
497,ZOdin_12_2T_21g,2608,33,33,522,51%,2528,11%
498,NNOdin_1.2.21_T7,2606,26,26,1312,45%,2595,6%
499,ZOdin_12_KP24,2605,57,57,280,44%,2548,6%
500,HLeelaz_153_1po,2604,32,32,591,57%,2454,12%
501,aya_1s_p4v4t8,2604,164,164,118,80%,1960,2%
502,ZOdin_12_2T_21d,2602,28,28,745,54%,2431,11%
503,H_LeelaZ_58_50po,2601,64,64,142,52%,2530,12%
504,NNOdin_1.2.12_T7,2600,27,27,1610,53%,2451,4%
505,ZOdin_12_2T_21b,2598,27,27,812,56%,2406,10%
506,Odin_1.1.17_ZW4T4N,2597,46,46,292,58%,2486,9%
507,RayZero-v1.0-p3200,2596,58,58,210,65%,2329,9%
508,HLeelaz_158_3po,2596,73,73,128,37%,2587,11%
509,LZ20-128_30po,2596,69,69,149,50%,2453,6%
510,galvanise_test3,2594,57,57,208,60%,2400,6%
511,CLeelaz9Test2,2593,26,26,931,50%,2508,15%
512,H_LeelaZ_71_50po,2593,65,65,157,49%,2566,15%
513,Odin_1.1.17_ZW2T2N,2591,33,33,535,58%,2460,8%
514,Hira3025-1B-10K,2590,32,32,577,52%,2465,9%
515,ZOdin_12_T7CL9_20,2587,11,11,5256,56%,2410,10%
516,NNO_1.1.7_2_2E,2586,69,69,137,76%,2264,5%
517,MauMau,2586,54,54,189,54%,2485,6%
518,NNOdin_1.2.15_T7,2584,72,72,310,62%,2316,3%
519,NNO_1.1.0_4_2Eb,2583,35,35,492,74%,2298,7%
520,Hira3025-2B-10K,2583,32,32,585,54%,2426,9%
521,ZOdin_12_T7CL9_21A,2583,32,32,673,58%,2325,10%
522,mcts_02,2583,53,53,219,56%,2440,10%
523,Waffle-3.1,2583,65,65,136,56%,2460,8%
524,MG_m427ro1600_test,2583,72,72,101,61%,2434,13%
525,Franxx-Ep1-D015b,2582,50,50,262,50%,2508,10%
526,Oronamin1,2581,28,28,744,55%,2454,8%
527,Franxx-Ep1-D015,2580,48,48,260,53%,2483,13%
528,ZOdin_12_T7CL9_21,2580,10,10,6152,54%,2409,10%
529,tamago063natsu1000,2579,94,94,100,54%,2369,3%
530,kohada0.1-1050Ti,2578,88,88,125,57%,2329,6%
531,Hira3060-5RA-10K,2576,36,36,440,53%,2441,11%
532,Aya786m_80k,2575,81,81,121,63%,2364,2%
533,Hira3073-1A-10K,2573,31,31,621,51%,2447,10%
534,galvanise_t140p,2573,63,63,170,53%,2487,8%
535,Tejava6S,2571,13,13,3416,54%,2453,12%
536,Franxx-Ep1-A390,2569,48,48,262,56%,2445,8%
537,KG_20b9_287_1p,2569,58,58,202,51%,2454,7%
538,ZOdin_12_T7CL9_19,2569,22,22,1342,54%,2409,10%
539,NNOdin_1.1.19_T7,2568,31,31,680,56%,2409,6%
540,NNOdin_1.2.1_T7,2568,18,18,2001,58%,2385,7%
541,Hira3034-1-2-10K,2568,28,28,823,49%,2499,8%
542,NNOdin_1.1.17_ZW,2568,18,18,2078,55%,2447,8%
543,Aya786m_40k,2567,14,14,4173,65%,2314,4%
544,ZOdin_12_T7CL9_18,2567,23,23,1220,50%,2455,11%
545,NNO_1.1.4_4_2E,2566,43,43,491,82%,1985,3%
546,Oronamin2,2566,35,35,448,56%,2456,8%
547,Hira3025-4x2-10K,2566,20,20,1630,47%,2502,8%
548,ZOdin_12_T7CL9_21D,2565,35,35,518,53%,2431,9%
549,ZOdin_12_2000_23,2565,40,40,415,50%,2447,7%
550,ZOdin_12_2000_22,2564,37,37,509,48%,2474,9%
551,TamaGo063Natsu4000,2564,97,97,120,52%,2435,3%
552,ZOdin_12_T7CL9_21C,2563,29,29,666,52%,2437,8%
553,NNO_1.1.2_2_2E,2562,37,37,516,76%,2265,4%
554,NNOdin_1.1.21_T7,2560,46,46,324,65%,2334,5%
555,Hira3060-7RA-10K,2557,43,43,334,51%,2398,10%
556,Hira3060-5RB-10K,2557,27,27,828,50%,2424,10%
557,NNOdin_1.1.8_E,2557,26,26,969,73%,2256,5%
558,ZOdin_12_KP26,2556,88,88,124,38%,2519,7%
559,NNOdin_1.1.20_T7,2556,38,38,451,59%,2376,6%
560,gzero_z99_100po,2554,53,53,209,57%,2421,8%
561,Hira3025-3x2-5-10K,2552,21,21,1541,48%,2472,8%
562,Hira3025-2x2-5-10K,2552,18,18,2036,49%,2458,9%
563,ZOdin_12_2400_22,2552,48,48,330,49%,2466,7%
564,CLeelaz9Test1,2551,33,33,589,54%,2489,14%
565,ZOdin_12_2400_19b,2548,59,59,202,45%,2465,10%
566,AyaF128a510_ro_10k,2548,5,5,37426,61%,2264,4%
567,Hira3073-2A-10K,2548,76,76,118,56%,2334,12%
568,ZOdin_12_2000_17,2548,42,42,413,48%,2459,10%
569,Calisto-3.1-1k,2547,70,70,123,50%,2463,7%
570,Hira3025-4-10K,2546,53,53,220,49%,2462,10%
571,CGI1337_10k,2546,38,38,496,66%,2285,5%
572,Hira3025-1x2B-10K,2546,19,19,1626,48%,2466,10%
573,Hira3025-2x2-1-10K,2544,28,28,803,48%,2461,8%
574,ZOdin_12_T7CL9_14,2544,25,25,996,49%,2441,9%
575,Franxx-Ep1-G556,2544,50,50,244,48%,2515,12%
576,Hira3060-4RA-10K,2543,37,37,439,48%,2447,11%
577,Hira3060-6RA-10K,2542,26,26,931,51%,2383,10%
578,ZOdin_12_TWCL6_14,2542,15,15,2752,53%,2412,9%
579,ZOdin_12_2600_14,2541,53,53,234,50%,2411,10%
580,NNOdin_1.2.11_T7,2541,23,23,2005,53%,2409,3%
581,Fuego-2033-4c,2541,34,34,522,57%,2428,7%
582,ZOdin_12_T7CL9_16,2540,28,28,883,61%,2298,6%
583,ZOdin_12_T7CL9_17,2540,25,25,1062,60%,2318,8%
584,Hira3073-0-10K,2540,26,26,952,50%,2383,9%
585,ZOdin_12_2600_16,2540,43,43,441,46%,2469,7%
586,ZOdin_12_2400_25,2540,56,56,246,46%,2474,4%
587,Waffle-3.0,2540,65,65,151,61%,2362,5%
588,NNOdin_1.1.7_E,2539,29,29,735,64%,2332,7%
589,NNOdin_1.1.5_ES,2538,39,39,404,71%,2315,4%
590,NNO_1.1.4_2_2E,2538,38,38,402,70%,2312,7%
591,ZOdin_12_2000_20,2538,47,47,318,47%,2473,8%
592,Hira3060-4RB-10K,2538,29,29,755,46%,2448,11%
593,ZOdin_12_T7CL9_13,2536,30,30,709,53%,2386,10%
594,Spiegel-0.5,2536,72,72,129,57%,2366,5%
595,Hira3034-1-10K,2536,25,25,1087,43%,2525,8%
596,NNOdin_1.1.18_T7,2536,40,40,441,51%,2415,6%
597,Hira3060-8A-10K,2536,44,44,335,51%,2362,12%
598,tamago063_SL_4000,2535,69,69,161,47%,2453,5%
599,ZOdin_12_T6CL7_17,2535,23,23,1305,54%,2383,9%
600,ZOdin_12_2400_18,2534,46,46,314,47%,2454,11%
601,ZOdin_12_T6CL7_19,2534,23,23,1295,54%,2384,7%
602,ZOdin_12_T4CL8_13,2533,21,21,1370,54%,2380,9%
603,Hira3060-4RC-10K,2533,55,55,205,49%,2416,10%
604,NNOdin_1.2.2_T7,2533,40,40,436,51%,2413,7%
605,Hira-No160a-40k,2533,43,43,313,57%,2440,4%
606,Hira3060-6B-10K,2533,43,43,352,53%,2366,13%
607,ZOdin_12_2400_23,2533,38,38,490,48%,2443,9%
608,Hira3025-4J-10K,2533,56,56,200,48%,2450,8%
609,Fuego-2033-16c,2532,59,59,156,44%,2556,10%
610,NNOdin_1.1.15_ZH,2531,28,28,793,53%,2453,8%
611,Oronamin3,2529,52,52,238,61%,2270,6%
612,Rn.5.12-10k,2529,31,31,666,49%,2441,14%
613,LZ9_SL_02_po1600,2528,60,60,161,52%,2442,9%
614,Rn.5.5,2528,60,60,185,49%,2440,9%
615,Hira3025-0-10K,2528,20,20,1465,49%,2425,9%
616,Hira3071-6C-10K,2527,70,70,117,49%,2429,8%
617,ZOdin_12_T7CL9_15,2526,27,27,913,51%,2399,8%
618,H_LeelaZ_25_1600po,2525,78,78,100,50%,2438,13%
619,Spiegel-0.5p,2525,72,72,140,57%,2351,11%
620,ZOdin_12_T3CL6_15,2524,28,28,767,51%,2430,10%
621,ZOdin_12_2400_24,2524,52,52,265,47%,2433,8%
622,H_LeelaZ_54_50po,2522,68,68,138,49%,2473,7%
623,ZOdin_12_TWCL6_13,2521,22,22,1257,51%,2455,11%
624,ZOdin_12_T6CL7_14,2521,33,33,665,53%,2371,8%
625,Callisto-1.0-1k,2520,56,56,199,44%,2555,2%
626,Hira3025-3-10K,2518,76,76,129,47%,2438,6%
627,XVG-1.0-pv1t24,2517,60,60,234,78%,2077,3%
628,ZOdin_12_T3CL6_14,2517,31,31,662,49%,2457,9%
629,Rn.5.9-10k,2517,68,68,150,55%,2416,7%
630,ZOdin_12_T3CL6_12,2517,29,29,765,52%,2435,7%
631,NNOdin_1.1.1_E,2516,47,47,289,73%,2278,7%
632,ZOdin_12_T7CL9_11,2515,30,30,739,55%,2350,7%
633,ZOdin_12_T4CL8_12,2515,27,27,869,50%,2406,9%
634,NNOdin_1.1.1_ES,2513,43,43,338,71%,2247,7%
635,ZOdin_12_T4CL8_15,2513,36,36,492,56%,2372,8%
636,Hira3060-1x2A-10K,2512,33,33,540,47%,2433,10%
637,NNOdin_0.13.4_MC3,2512,33,33,674,74%,2217,5%
638,ZOdin_12_T2CL6_15,2512,26,26,898,50%,2437,9%
639,NNOdin_1.1.0_E,2511,31,31,620,69%,2253,7%
640,ZOdin_12_2600_13,2511,50,50,273,42%,2480,10%
641,ZOdin_12_DL6a_13,2511,29,29,746,49%,2462,8%
642,ZOdin_12_2000_21,2511,47,47,346,48%,2431,6%
643,Rn.5.7b-10k,2510,31,31,644,51%,2423,7%
644,ZOdin_12_2000_15,2510,50,50,291,46%,2395,9%
645,Callisto-1.3-1k,2510,80,80,116,40%,2517,5%
646,ZOdin_12_CL6h_10,2510,15,15,2914,47%,2481,8%
647,NNOdin_1.1.2_E,2510,25,25,1091,73%,2211,4%
648,ZOdin_12_CL6h_11,2509,22,22,1297,47%,2477,7%
649,Rn.5.8b-10k,2509,31,31,706,50%,2423,5%
650,Hira3025-1x2-10K,2509,42,42,346,49%,2401,9%
651,NNO_1.1.1_2_2E,2509,74,74,107,70%,2265,9%
652,kohada0.3.4.d,2508,69,69,498,48%,2303,3%
653,ZOdin_12_T7CL9_10,2507,33,33,629,48%,2435,8%
654,ZOdin_12_T6CL7_20,2506,25,25,1255,50%,2336,9%
655,ZOdin_12_T7CL9_21B,2506,30,30,755,49%,2384,7%
656,Rn.5.4,2505,38,38,541,55%,2353,6%
657,ZOdin_12_T4CL8_16,2505,36,36,512,53%,2352,6%
658,ZOdin_12_T2CL6_13,2504,29,29,744,50%,2435,8%
659,Hira3025-4B-10K,2504,68,68,173,42%,2462,8%
