Rank,Name,Elo,+,−,Games,score,opponent,draw
1219,net_13k,1673,15,15,2740,47%,1735,3%
1220,mojako1.4,1669,39,39,691,36%,2029,2%
1221,SmallBrain-02,1668,32,32,1003,43%,1936,2%
1222,Fenrir_0.3.2b,1660,79,79,173,40%,2035,1%
1223,go11_10k,1656,19,19,3715,34%,1961,2%
1224,Fenrir_0.3.1b,1656,55,55,408,40%,1968,0%
1225,Odin_0.8.7_100k,1655,33,33,787,34%,1915,2%
1226,Odin_1.2.3_1T,1649,68,68,309,29%,2011,0%
1227,Fenrir_0.3.2,1646,72,72,313,35%,2077,0%
1228,Fuego-2023-100sim,1628,15,15,4568,34%,1838,1%
1229,DeepEsper_3.0.1,1625,12,12,6231,42%,1783,3%
1230,budgie-5k-03acae2,1623,114,114,198,43%,1899,1%
1231,Fenrir_0.3.1,1609,46,46,650,36%,1974,0%
1232,mojako1.7,1608,84,84,174,36%,1905,1%
1233,SmallBrain-01,1600,44,44,515,37%,1901,2%
1234,Odin_0.9.0_100k,1599,47,47,415,17%,2085,1%
1235,net_14k,1595,14,14,3395,42%,1646,3%
1236,mojako1.4-r1,1589,73,73,208,24%,2122,1%
1237,mojako1.3,1579,57,57,293,40%,1900,3%
1238,net_15k,1566,16,16,2692,40%,1669,2%
1239,budgie-5k-9aa833b,1562,30,30,2251,43%,1856,1%
1240,mojako1.2,1559,39,39,632,46%,1798,1%
1241,Fenrir_0.2.4,1552,30,30,1305,34%,1938,0%
1242,amigo,1542,97,97,114,38%,1804,1%
1243,go11test,1528,42,42,814,30%,1992,1%
1244,net_16k,1515,15,15,3316,37%,1599,3%
1245,mojako1,1511,62,62,363,34%,2013,2%
1246,Fenrir_0.2.3,1510,48,48,378,38%,1840,0%
1247,Aya1PO6,1510,21,21,2077,30%,1784,2%
1248,mojako1.1,1504,42,42,579,38%,1863,2%
1249,Fenrir_0.2.2,1492,38,38,954,33%,1974,1%
1250,DeepEsper_3.0.0,1490,21,21,2233,38%,1734,1%
1251,SocratiGo-0.1a-12,1485,54,54,499,39%,1748,1%
1252,NubbyBot,1481,33,33,1006,36%,1723,1%
1253,Fenrir_0.2.7.1,1475,68,68,152,42%,1641,1%
1254,Odin_0.8.5_100k,1462,42,42,655,12%,1945,0%
1255,vnb_3_500v,1455,104,104,119,31%,1936,1%
1256,Odin_0.8.6_100k,1452,61,61,313,12%,1931,0%
1257,net_18k,1442,16,16,3328,35%,1551,2%
1258,SmallBrain-00,1430,90,90,157,25%,1882,0%
1259,pureMcUctRave_1k,1422,32,32,838,27%,1728,1%
1260,vnb_1_1500v,1418,92,92,175,24%,2049,0%
1261,net_17k,1410,17,17,3245,35%,1518,2%
1262,SocratiGo-dev,1407,43,43,884,37%,1694,1%
1263,Odin_0.8.3_100k,1389,44,44,507,18%,1806,0%
1264,Aya1PO,1358,26,26,1191,28%,1657,1%
1265,amybot-beginner-v1,1354,19,19,3710,25%,1854,0%
1266,Odin_0.8.1_100k,1304,38,38,1033,10%,1899,2%
1267,pureUctRave_1k,1300,42,42,619,12%,1701,3%
1268,TangGo-1.0,1296,35,35,1116,29%,1988,1%
1269,DBaduck89138d0RPI4,1243,23,23,2267,15%,1858,1%
1270,DellaBaduck344ad8f,1234,59,59,254,24%,1568,2%
1271,DellaBaduck78c43d8,1213,64,64,247,19%,1609,1%
1272,stop-0.9-002,1193,4,4,42446,43%,1448,0%
1273,DellaBaduckcaff1a4,1185,87,87,126,20%,1539,2%
1274,Stop-0.9-005,1148,3,3,286311,6%,2084,0%
1275,DBaduck98f51f7RPI4,1057,114,114,153,6%,1639,1%
1276,DBaducke4c7096RPI4,1050,37,37,1574,6%,1670,1%
1277,DBaduck344ad8fRPI4,1041,105,105,150,8%,1573,0%
1278,DBaduck316bc5cRPI4,1036,65,65,374,9%,1598,1%
1279,DBaducke6309b5RPI4,1036,139,139,127,4%,1650,1%
1280,amigogtp-1.8,982,55,55,3675,2%,2042,0%
1281,pureMcUctRave_100,950,88,88,164,11%,1479,0%
1282,Fenrir_0.1.1,932,38,38,1237,11%,1829,1%
1283,DBaducke90fa51RPI4,906,175,175,168,1%,1663,1%
1284,DBaduck90f6319RPI4,845,134,134,218,2%,1578,1%
1285,mimigo,792,146,146,344,2%,2141,0%
1286,DeepEsper10,675,157,157,187,4%,1578,0%
1287,mimigo_a3,659,182,182,190,1%,1962,1%
1288,DBaduck0d8d5eeRPI4,655,330,330,233,0%,1703,0%
1289,DBaduck1d66363RPI4,618,77,77,2740,1%,1848,0%
1290,DellaBaduckf6497eb,617,327,327,307,0%,1679,0%
1291,DBaduck310d1a3RPI4,563,187,187,547,0%,1590,0%
1292,mimigo_a6,497,245,245,221,0%,1818,0%
1293,DunceBot,497,134,134,683,1%,1574,0%
1294,DBaduck358fbfaRPI4,447,147,147,820,2%,1961,0%
1295,Fenrir_0.0.1_R,442,154,154,407,1%,1822,0%
1296,daffybaduck,435,97,97,984,4%,1801,0%
1297,DBaduck25d1d51RPI4,185,226,226,1796,0%,1589,0%
1298,dellabaduck,164,240,240,884,0%,1573,0%
